"id","week","reply","tweet"
"mhN2G","Week 1","LJnZv","@najeema Getting your tan lines going?  Enjoy your day sweetie!"
"PInol","Week 6",NA,"Full day of church stuff...scrapbooking...and now dinner at home with my roomie Shauna  good stuff!"
"SYIdt","Week 1",NA,"Okay, folks, it's time for me to go to bed.  Good night.  It's been great to be back.  "
"mhN2G","Week 6",NA,"@thepianoeyes hahahhaha.  nmind nmind semi-eye-candy is better than none."
"Obd8K","Week 2",NA,"I'M theee coolest @THEREMIXX "
"Obd8K","Week 2",NA,"@RainbowZap Ive voted "
"zEUg8","Week 2",NA,"ha ha! Strapping young man carried the lawnmower to the car for me   Perhaps he might like to finish mowing the lawn for me too ??"
"JghbQ","Week 1",NA,"Vote for @suziperry : http://bit.ly/WnhrM   thanks"
"uZgx5","Week 3",NA,"@davidptdf Now Im Addicted...Thanks Alot...HaHa "
"hgIkb","Week 6","jC4XQ","@Janetrigs Is it wrong that I'm planning out where we are gonna go drink when u come to Atl?  "
"hhTDd","Week 1",NA,"someone please kick me in the butt already! i need to Cleancleanclean! ..nothing compares to a spotless tidy clean house! "
"ncidF","Week 3",NA,"@R_SHECKLER  I Loved Lor 3 Really Good  i hope u figure out what to do soon  have a good day  Love u so much stef x xx  x"
"Obd8K","Week 5","y3OIB","hilareous  http://www.textsfromlastnight.com/ (another @evanphx classic!) #nsfw"
"uZgx5","Week 5",NA,"Is thinkin that the poperatzi is followin her top Panama..geeze can't they just give me a break  ha."
"Obd8K","Week 6","SYIdt","@DavidArchie really? that's awesome! my sister is a HUGE fan of Relient K "
"y1Qz7","Week 5","yJbRW","@dave_blogworld WOWOW. That's gotta suck. But the cats/dogs will have a healthy cleanup. "
"yJbRW","Week 4","zEUg8","@LeighPea I think she was probably trying to apply for the CM job? Maybe Kristen G just scared her off "
"ohDFC","Week 4","YeSmh","@Destini41 Children often rebel against their parents politics "
"oP3fu","Week 1","3P9qG","studying calling ;( but so is gossip girl and gossip girl wins  lol"
"mhN2G","Week 6",NA,"going to grandmas, and maybe stop at Tim Hortons? "
"ncidF","Week 1",NA,"jamming to some good old Green Day. I always hesitate to put them on, but as soon as i do, i listen to the album all the way through "
"Obd8K","Week 5",NA,"Its a love story, baby just say Yes. "
"hgIkb","Week 1",NA,"@kleemoon thanks u're so kind "
"JghbQ","Week 5",NA,"Right back 2 the gardening, had a long enough break.  X"
"Obd8K","Week 3",NA,"@nicolerichie I thought cawaii was spelt with a k?! But sounds awesome! "
"ncidF","Week 5","HQEwD","@davensjournal Yup! + Havent been watching since filler started; just saw all filler + up to 203 this week.  we like marathons too! hehe"
"YMTdr","Week 2","jC4XQ","Students, that is. "
"RjjgC","Week 3",NA,"ok, my cheeky quotes on my blog are sometimes perfect. Make me laugh just when I am ready to scream "
"GN1BY","Week 1","PInol","@venessaaaa followfriday itu tiap jumat kita bikin list orang2 yang recommended buat difollow org lain.. biasanya sih 5 orang.. "
"jC4XQ","Week 1","zEUg8","I just finished completely going through my closet and dresser. Stuff dating back to the 90s! All the good stuff is going to @WCA_Boise. "
"Qztmg","Week 1",NA,"@patriotfreedom LOL ... no joke.  I encourage Jeffersonians to look at the VA flag. http://www.50states.com/flag/vaflag.htm  Not very PC "
"y1Qz7","Week 3",NA,"I'm feeling extra sassy today "
"yJbRW","Week 6",NA,"@spaceassassin well it does the work right?  haha very creative"
"PInol","Week 4","3P9qG","have German students here  when they need to revise for Maths tomorrow :/"
"HQEwD","Week 5",NA,"is going to walk amber afterhis show. "
"cN1ar","Week 4",NA,"I'm a LONE SOLDIER. Aha! That's how I really feel. Taking on my own battles &amp; ***. Spare me the drama &amp; just let me do it! "
"GN1BY","Week 2",NA,"@brookeiloveyou you are not the only there bb  Im waiting for that real person who appreciates who I am and to love me for real..."
"M5dmg","Week 4",NA,"@lauratoogood Aww... you're , ummm... toogood!! "
"y3OIB","Week 3",NA,"On the phone to Jadeeeee "
"uZgx5","Week 1",NA,"Wow cops at a donut shop. Don't see that everyday "
"YeSmh","Week 3",NA,"@DynamicImage Did you make it out? "
"oP3fu","Week 1",NA,"@zofie we re a t the south park "
"ZqgdN","Week 3","YMTdr","Heading to NYC tomorrow.   "
"3P9qG","Week 3",NA,"@victorstelling certo ^^  eu vou tomar banho  beijo amr."
"hgIkb","Week 6",NA,"em ch?a bi?t m?t ?i?u g� c?, nh?ng em mong trong chuy?n n�y, s?p t?i em s? ??i ???c k?t qu? x�c ?�ng "
"LJnZv","Week 5",NA,"@djackmanson Always looking for proofreaders! DM me your email address and I'll send you the manuscript if you're interested "
"YMTdr","Week 4",NA,"hey boy you look so fly "
"jC4XQ","Week 5",NA,"@bassguitar65 River float ... sounds fun. Can you believe I've never been? What's wrong with THAT picture? I can fly fish tho "
"ohDFC","Week 2","jC4XQ","@6CarpT77 eat waffles!  http://twurl.nl/vcc18p"
"y3OIB","Week 5","yJbRW","Aparantly it's #starwarsday so enjoy  don't quite know what your Kent to do but be happy anywho!"
"mhN2G","Week 1",NA,"@vegand Omg! We're totally considering Astoria!!!!! we could be neighbors  thanks for the info."
"Obd8K","Week 6",NA,"@AirMaxRobin oh, nice  melamachinko@gmail.com"
"zEUg8","Week 4",NA,"@Vosty that i keep getting asked why i eat meat  Yes, little birdie is in a fancy school, coz public schools here teach strictly in swa"
"Qztmg","Week 6",NA,"Absolutely flabbergasted! How am I functioning like an actual human being when I've only had 1 coffee today? Did I break my habit "
"SYIdt","Week 1",NA,"on the bus going site seeing  NIGHT AT THE MUSEUM 2 tonight "
"okrpy","Week 4",NA,"Wow. When things start happening, they really just keep coming. "
"Obd8K","Week 4",NA,"Cheers for the FF "
"JghbQ","Week 3",NA,"The chasers is hilarious, felt like letting you in on tht haha "
"cN1ar","Week 5","y3OIB","@veromcfly ohhhhh ok that makes sense  im gonna reply to ur story mwahaha"
"GN1BY","Week 2",NA,"Ok now I'm really leaving. Night "
"3P9qG","Week 5",NA,"Thank you @sizbitz &amp; @ysbub. Now that I know what #tcot means, I no longer feel like a Twitiot. "
"okrpy","Week 2",NA,"We have offically Launched Our YouTube Account! www.YouTube.com/SkylineApparel Video IS the Weekly Update "
"ZqgdN","Week 2",NA,"@dianebirch great job today at Last Call!! You did amazing! Good luck on your new album!! "
"M5dmg","Week 4",NA,"@Annemazer Well, you know...it only rains on the REALLY important events. "
"ZqgdN","Week 3","jC4XQ","@maryk3lly thank you ..mate!  aussie?"
"Qztmg","Week 4","ncidF","@blondi103542509 Thanks for the Rick-Roll, It made my day! "
"zEUg8","Week 4","M5dmg","Listening to kid tunes on the satellite...&quot; From the Indies to the Andes in his Undies&quot;  Cute song "
"RjjgC","Week 2",NA,"@starrahlicious. Easy, easy.....don't lump all of us. And about the girl comment, can I watch "
"y3OIB","Week 3",NA,"@Danacea I won't be able to make that one but it looks like I'll be seeing you at the Phoenix later this week "
"y1Qz7","Week 3",NA,"@Llubyloo I've never been on that site, I'll investigate today. Thank you so much for sharing with me "
"okrpy","Week 3",NA,"@D0miniqu3 IT's in his blood "
"zEUg8","Week 3",NA,"@DealinNY good morning/night its a beutiful day in the tri state area "
"ncidF","Week 2","RjjgC","i hate mcfly &amp; danny jones!  "
"GN1BY","Week 5",NA,"@Shay98 lol....before my real first concert in january I didn`t sleep a minute "
"oP3fu","Week 4",NA,"Had a good meeting today ....now petsitting "
"hhTDd","Week 1",NA,"@architeuth1s oh,well one will be enough "
"3P9qG","Week 5","3P9qG","Great sesh today... hitin' up the showers with a smile on my face "
"Obd8K","Week 1",NA,"is recovering from last nite.......but oh so worth it "
"Ccnpg","Week 2","y1Qz7","@xencinas Thanks! "
"PInol","Week 1",NA,"our cat is weird - but i still love her "
"cN1ar","Week 2",NA,"@bigpurpleheart YAY!! In 3hrs our lives will be complete!! "
"jC4XQ","Week 5",NA,"@MicheleKnight Morning, how did the house hunting go? "
"Qztmg","Week 4",NA,"it's actually chilly outside... guess i'll do laundry, just not my disrespectful, a$$hole brothers.... "
"sBhUF","Week 4",NA,"just noticed that @TraceCyrus has a LOT of tattoos..but he's awesome and i love metro station. "
"jC4XQ","Week 6",NA,"haha, watching dean put some nivea sample thing on his face 'wtf are you doing?' 'revitalising my skin' LMAO  "
"mhN2G","Week 3",NA,"Forgot how much I adore &quot;Some Like It Hot&quot;... It's just the most gorgeously funny film. An irreplaceable classic! "
"zEUg8","Week 1",NA,"@marimejia hey chica, t encontre primiss "
"zEUg8","Week 1",NA,"downloading tons of online games !  over !"
"YMTdr","Week 6","cN1ar","only in socal can i wash my car and go to the beach in the sunshine and then get into d-land FREE for the night. i'm happy, be jealous.  "
"ZqgdN","Week 4",NA,"The Wusus are classic ... Good times with good people for sure "
"hgIkb","Week 3","SYIdt","@aspo1 Sounds like an excellent plan ... remember, gotta be Warburtons (not doughy) and HUGE amounts of nutella  Enjoy boys!"
"YMTdr","Week 2",NA,"@MissNanaOnline Young ci "
"LJnZv","Week 2",NA,"good morning, btw! VOTE FOR TOM! http://bit.ly/VwV6H  "
"okrpy","Week 1",NA,"@souljaboytellem SHOUT OUT TO NIKKI....PLEASSSEEE   (Soulja Boy Tell 'Em LIVE live &gt; http://ustre.am/2UhS)"
"cN1ar","Week 3",NA,"@Juan_Kinda_Guy  your kids are growing up around science guys. I grew up around politics. "
"3P9qG","Week 4",NA,"@Antdog927 im starting to think i shouldnt be mixing my drinks no more, yet i always say it and still do it! ITS ALL UR FAULT LOL JK "
"zEUg8","Week 4","ohDFC","@lkamada Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip "
"RjjgC","Week 3","hgIkb","A day full. of. housework.  And a new blog post ;-) http://bit.ly/8wEU7   Have a great day, all!  "
"jC4XQ","Week 3","3P9qG","@JinglesG what up tweep...the song was lovely "
"PInol","Week 2",NA,"@Kes13 why not enjoy this free time you have. maybe read a couple great books...? do some writing...? "
"hhTDd","Week 5",NA," drive safely babe. I love you. Yuck what a long drive."
"GN1BY","Week 6",NA,"@WillJasper I sent to info to someone on my team so we can check you out  "
"cN1ar","Week 2","SYIdt","@cwmyers Screamfeeder is one of them, yes... "
"hgIkb","Week 4",NA,"whoops. fell asleep with the window open and woke up to it raining on my face. AND a wet pillow. but i love the rain.   night ya'll!"
"SYIdt","Week 4",NA,"@abbyweidert No biggie, just trying to make sure some people are notified. There will be one more backyard bbq #gbtu before summer's end. "
"GN1BY","Week 1","hgIkb","is grillin' carne asada "
"LJnZv","Week 3",NA,"@GirltaristHan I didn't know that "
"RjjgC","Week 1",NA,"Guys do it downtown @smosh in Sacramento "
"SYIdt","Week 6",NA,"SYM2010 Audition Script (English) now available for download!  Chinese version will be made available few days later. Stay tuned! ;)"
"M5dmg","Week 2",NA,"hix, ghi l�n th?t l?i b? h?u l� ?i m?, em ko c� m? nha m?i ng??i, m� c�i n�y con h?n m? n?a "
"Obd8K","Week 3",NA,"is going to sea world! "
"RjjgC","Week 1","hhTDd","@shebeegee I know where you are  That is what I should have ordered the other day. http://post.ly/jtC"
"mhN2G","Week 6",NA,"Now ripping #spotify. This might be related to my previous Tweet. "
"3P9qG","Week 6",NA,"is a ***ing high school graduate!! "
"yJbRW","Week 5",NA,"@JaDoodles Yeah, I think it worked well...I've been having bouts of insomnia lately, so it was nice to sleep through the night! "
"uZgx5","Week 2",NA,"back from Frankfurt and have uploaded many videos and done some blogs - yay!  Catch up all done  http://jassydevil.blogspot.com/"
"hgIkb","Week 6","SYIdt","@FPaw Glad to hear we'll still have seasonal picture updates for the front page. "
"y1Qz7","Week 6","YeSmh","Rt @margaritareyes Gave Dolores Huerta an &quot;I support the DREAM Act&quot; pin, she put it on and took pic with me  #passthedreamact"
"zEUg8","Week 3","zEUg8","is writing, practicing and learning for band. "
"GN1BY","Week 1",NA,"going home early :today... "
"ZqgdN","Week 4",NA,"Got a 90 On my test "
"jC4XQ","Week 3","YMTdr","super thirsty. &gt;:|. want to go home &amp; sleeep. "
"Qztmg","Week 2",NA,"Going to the movies "
"LJnZv","Week 2",NA,"@lisachaves happy birthday bruthhaaa "
"zEUg8","Week 1",NA,"life is too short "
"cN1ar","Week 5",NA,"here I am "
"3P9qG","Week 6",NA,"http://www.youtube.com/user/swL2d  chillin on youtube "
"cN1ar","Week 1",NA,"What will happen tonight?   Britt, don't text saying 'omg what is going on tonight' i'm just putting that as my status. don't assume."
"hhTDd","Week 3","HQEwD","is in CA! woot. feel like crap though. @retrorick21 is here with  me  hai rick!"
"uZgx5","Week 1",NA,"just had a kick ass evening out at the park with her kids... ive waited too long for nice weather "
"M5dmg","Week 1",NA,"plans for tonight: the Asylum and Teen HUT. Should be one heck of a night! "
"RjjgC","Week 6",NA,"working on a LOT of things at the same time "
"ohDFC","Week 5",NA,"shall keep my promise to God tml and go church. "
"PInol","Week 1",NA,"@AlexAllTimeLow I work there, you should come visit me  ha"
"hgIkb","Week 1",NA,"@designtramp they picked a perfect weekend weather wise so far  that's a gr8 pic btw - is that from the far end of the lake by the beach?"
"cN1ar","Week 3",NA,"sway sway baby "
"zEUg8","Week 5",NA,"@dereckbreuning Take a guess where lovely @LJsBaby is having lots of fun right now "
"cN1ar","Week 3",NA,"@katehughes Really good blog post  It's amazing when I talk to people who have been using it for a while and had never click the @ button"
"ohDFC","Week 1","uZgx5","@shannyrpi no  whose on the bill 2nite?"
"Ccnpg","Week 6",NA,"Words can't describe... "
"GN1BY","Week 2","ncidF","http://yfrog.com/1akjdj itss beautiful outside "
"zEUg8","Week 1","JghbQ","how was sundowner  @warothe oddly, i'm just as exhausted as any other day...totally spent can't even lift a limb."
"y3OIB","Week 1",NA,"@altimet entertain em' ! "
"RjjgC","Week 6","Ccnpg","@jcmoreno14 good night "
"LJnZv","Week 1",NA,"@aplusk .. u would think more ppl would do it, because it's safe 4 their fans... i would hate to be impersonated, being in the public eye "
"mhN2G","Week 6","YMTdr","@holymully  Tweeteth thou in Olde English all the time? (how do you say 'all the time' in Shakespearan English?)"
"JghbQ","Week 3",NA,"in english class with my friend flor "
"YeSmh","Week 3",NA,"watchin' tv with mommy "
"mhN2G","Week 2",NA,"First day at Pro Sports! "
"zEUg8","Week 5",NA,"Is drained. Off to bed. Gogo dancing to Chicago DJ's in Milwaukee makes life... a little better in my  book Nitey nite world! "
"RjjgC","Week 2",NA,"@DavidArchie you are the sweetest! "
"ZqgdN","Week 3",NA,"I graduate tomorrow !!  whoaaa"
"SYIdt","Week 1",NA,"ok gotta get my sub before everyone wakes up "
"GN1BY","Week 2","Obd8K",": Thanks for those requests!  http://plurk.com/p/11bdia"
"hgIkb","Week 3",NA,"Wrote on Tyler...everywhere. "
"hhTDd","Week 5","ohDFC","@jesscocaine thanks you too  all we can do is stay in our place. calm. cool. good. Have an amazing Sunday"
"M5dmg","Week 4",NA,"@Marianaonshine &quot;Mack The Knife&quot;?  Love him!!"
"JghbQ","Week 1",NA,"@selenagomez watchin the new episode right now  its so funny! ur such a great actress! u say every line perfectly!!  &lt;3"
"y3OIB","Week 2",NA,"http://twitpic.com/7h1np - lovely laura &amp; myself "
"YMTdr","Week 3",NA,"On my way to skewl to take my last exam and im done with high skewl forever "
"3P9qG","Week 5",NA,"@ausher8 Tweet, tweet, tweet. Hello, dear, how have you been?? Oh, I hope it doesn't stop raining till it floods. "
"y1Qz7","Week 4",NA,"might be seeing my god mothers little boy in a bit  . Leon, so cute &lt;3333"
"ohDFC","Week 3",NA,"@deansalem let's slow it down now!  ok i'm gonna try and attempt sleep now  love you"
"hgIkb","Week 2",NA,"@chinewinelover ????? "
"Obd8K","Week 5","PInol","Confirmation they are /b/tards! I have found my /b/rothers "
"y1Qz7","Week 1",NA,"@mynameislouie the 'today i am going for a picnic in the sun it will be nice' one and the two afterwards. Were really weird. :/ will do "
"3P9qG","Week 5",NA,"@SNCSocrates congratulations sir "
"3P9qG","Week 4",NA,"is starting to understand his purpose... the target... a revolution  long live alexander"
"mhN2G","Week 1","GN1BY","Timothy Bragg is a slow replyer "
"JghbQ","Week 1",NA,"@dougiemcfly And Danny's gonna catch up with you soon too. You need to step up the game, Dougie! "
"y1Qz7","Week 1",NA,"I am no terminating my relationship with the magic ... LOL  Its the Lake Show!"
"M5dmg","Week 1",NA,"@kyleandjackieo hey guys my friends and i made this movie, please watch it, and promote  http://bit.ly/2SURW  xoxo"
"yJbRW","Week 3",NA,"some of the ladies #followfriday @nessie_111 @ComedyQueen @saragarth @elise0605 .nice allrounders. "
"mhN2G","Week 5","jC4XQ","@raconteurreal Haha no but you should watch it, it's really exciting "
"RjjgC","Week 4",NA,"@IreneKoehler Thanks for the #ff.  Have fun tomorrow at @TWTRCON tomorrow!    Can't wait to hear about it."
"hgIkb","Week 5",NA,"Buying Maeve O'Boyle's new album, ahhhhh!  Excitement to the max   "
"LJnZv","Week 2",NA,"@JavaJunky done and done!  Now what to do!?"
"PInol","Week 1","okrpy","They shud make a double decker bendi bus an put of round my area every 15mins "
"y3OIB","Week 4",NA,"@AntonioCapo Far from embarassing them - most peeps are delighted to be recognized! "
"ohDFC","Week 4",NA,"@faery_c0rpse Congrats "
"Ccnpg","Week 6",NA,"I told u boy! Dats what u get niggah! Lmao srry , I had to do it "
"HQEwD","Week 5","ohDFC","@megeden It does, actually. But not if the victim is adorable. "
"Obd8K","Week 6",NA,"Hell-O twitter world "
"oP3fu","Week 3","zEUg8","morning sunshineeee  going swimming today xox"
"PInol","Week 3",NA,"@Mynamesnotrick : How many rolls at once? At least 5!!  Loved using HC-110 and Tri-X myself..."
"cN1ar","Week 5",NA,"@fictillius buy me a graham farish 3 car dmu. "
"LJnZv","Week 6",NA,"Bom dia twitters "
"uZgx5","Week 2",NA,"Going to confirmation practice. LOL.  See you "
"oP3fu","Week 1",NA,"@MileyyCyyrus hey u there miley? "
"ohDFC","Week 1",NA,"@yagirLgOtkickS .. Thats cool .. I'm once again going to look at apt today lol  i hope i get a place soon .."
"PInol","Week 2",NA,"Good morning ! Beautiful morning, 75min progression run in prep for race next weekend.  Drinking a cup of java "
"ohDFC","Week 3",NA,"Partyyy time!!! Happy Birthday Sharon  http://twitpic.com/3j2da"
"Ccnpg","Week 2","YeSmh","@B_and_W_RaInBoW тобто не йдемо? І хто? "
"HQEwD","Week 4",NA,"@pingpingss LAKERS!!! ALL THE WAY !! "
"sBhUF","Week 2",NA,"Chili dog from wing and a prayer for supper  oh boy!"
"hhTDd","Week 3",NA,"@asil can get a shot of baileys at melly's for that "
"y1Qz7","Week 3","ncidF","@mileycyrus heeeey  !! mileeyy i voted for you &lt;3, and how are you doiiing ?! my names cole, and your really pretty  ahah !"
"PInol","Week 4","LJnZv","@ChaniKai Thanks Chani. LOL, very nice translation. "
"Obd8K","Week 2","ZqgdN","@tygr20  Yeah I'm up for whatever."
"SYIdt","Week 2",NA,"@JBareamazingg ive got to learn 7 full pages of french of by heart :S im a good avoider "
"Obd8K","Week 1","Qztmg","@X3abbieX3 ohh XD i havent been on twitter for ages soo i just saw that "
"zEUg8","Week 2",NA,"@smnthclp i only have 900mb. "
"ncidF","Week 1",NA,"@kan_ haha...that'd do it.  i still remember my ICQ number too.  "
"oP3fu","Week 4","jC4XQ","@KittyBoo81 WHAT?! Drunk Welshy?! I miss all the fun "
"ncidF","Week 2",NA,"runnin some errands on my last day off this week "
"okrpy","Week 5","sBhUF","Pauline sucumbing to the dreaded lergy - Have successfully passed it on - begone foul daemon!   Poor wife... "
"PInol","Week 6",NA,"@Aprillian "
"YeSmh","Week 4","hgIkb","@prettyclassic sigh yeahh, had one today... it was awful! two hours blahhh. Got another tomorrow aswell.  boo. How're you? xx"
"zEUg8","Week 2",NA,"I do hate work  really wanna get home early then head to holy"
"JghbQ","Week 5",NA,"Apparently seasoned tweeters don't like twitter being used for conversation - so i've read.. sorry seasoned tweeters "
"YeSmh","Week 6",NA,"Last night I dreamed of my father. He's been gone so long, yet I still miss him so much "
"mhN2G","Week 2",NA,"Depressed that on such a sunny day the only bit of it I will see is the two minute walk from Victoria underground "
"GN1BY","Week 3",NA,"I feel so tired and down .... I hate allergic coryza "
"3P9qG","Week 2",NA,"Don't u hate when u have a long day ahead of u but u can't fall asleep "
"JghbQ","Week 6",NA,"My neighborhood dry cleaners is closing! That's apparently what I get for not giving them business in like 2 months. "
"YeSmh","Week 2",NA,"@phishgirl3 It's all good. My wife has my daughter singing that crap also "
"jC4XQ","Week 2",NA,"@JellyKnuckles mario kart ahhh the memories.. My cousin chewed my snes pad "
"y1Qz7","Week 1",NA,"@reed666 if you told me I may have gone "
"yJbRW","Week 2",NA,"Not looking forward to going home "
"PInol","Week 2",NA,"@fobchick08 My page won't even load "
"okrpy","Week 1",NA,"Looks like the NY is due for some more bad weather!! There goes my weekend!! Dammit!! "
"JghbQ","Week 1",NA,"you and me is all my head dreams of &lt;3 feeling rather sad tbh "
"PInol","Week 3",NA,"Had a little break - time for some crazy hardcore bio now  sigh i can't wait for summer and freedom!"
"oP3fu","Week 5",NA,"@SuperRecords Ah hope i'm not being nosey, but why would anyone say 'F*ck you!'  to all of ye? That's just bad form "
"jC4XQ","Week 2",NA,"@Natsherif hey you... What about me? "
"ncidF","Week 1",NA,"@sarahmarina JCP only had boys "
"LJnZv","Week 1","sBhUF","forgot my book @ school so I can't read!!!! "
"ncidF","Week 2",NA,"@AlanDistro Movies are indeed, sucking harder and harder "
"Ccnpg","Week 3",NA,"Home from aunty duty. Was a great day, but now I've got a terrible headache "
"PInol","Week 4",NA,"I really can't  change my pic. Its unfair.. "
"GN1BY","Week 5","SYIdt","BUT IT DIDN'T REALISE THE GUY WAS SIMON PEGG! I must watch it again but I can't find a copy anywhere, I think it was just shown the once "
"cN1ar","Week 2",NA,"@thereasonwhy thats ok. oh katie said that audra didnt stay for the after party so if you went you wouldnt have been able to meet her "
"ncidF","Week 4",NA,"@marginatasnaily No idea babe   hows your wine tonight? not frozen i hope?! xxx"
"ncidF","Week 1",NA,"Working ... month end... i really hate month end... "
"oP3fu","Week 2",NA,"Whilst everyone is celebrating the end of exams ... I STILL HAVE ONE ON MONDAY. "
"oP3fu","Week 3",NA,"ugh! trying so hard to go 2 ibague! and i have the perfect way, but the mother has another plan in mind......  help!"
"yJbRW","Week 2",NA,"@inkdmom what's goin on Hun "
"ncidF","Week 2","ohDFC","@milesdecourcy  the distance between there and here makes me sad.   (need to stop feeling sorry for myself)"
"YeSmh","Week 5",NA,"@AyEyeEmEE  use it so I know what's up"
"LJnZv","Week 1","cN1ar","@sommes Iran/Twitter is so inconsequential that it almost makes me feel positive about myself that people have that on their minds. "
"3P9qG","Week 1",NA,"No wonder it's harder to understand &quot;englishness&quot; when 'profit motive' is causing blanding and Tesco-isation    http://tinyurl.com/knorth"
"ncidF","Week 1","Ccnpg","revision today  electrics- my worst enemy. who cares really!? FOUR EXAMS TOMORROW  opps i should have done art today!"
"YeSmh","Week 2","ohDFC","#f1 Massa 6th with fuel problems; Kimi out = FAILARI! "
"ncidF","Week 3",NA,"it sucks to be allergic to my beloved dannie girl "
"ncidF","Week 2","hgIkb","i wish  i had a time machine to turn back the clock   so i wouldnt be so sad :["
"HQEwD","Week 6","PInol","Good morning. what a start..sister-in-law broke her tooth in our dressing room.. "
"zEUg8","Week 1",NA,"We finally get Rove on TV in the country, and they put it on too late for me on a school night "
"JghbQ","Week 3",NA,"@tommcfly i didn't know the time of your flight, i wanna see u, in the concert someone stole my camera, and i havn't any photo with McFLY "
"YeSmh","Week 5",NA,"Needs to eat lunch soon and wants sushi sooo bad! It's unfortunate that my local sushi joint closed down to to this glorious recession. "
"hgIkb","Week 1","sBhUF","@RizzBoston I wish I was but gotta work "
"ZqgdN","Week 6","y3OIB","@TentCamper They never respond to anyone  #spymaster"
"YeSmh","Week 1","SYIdt","@goldenskye not really "
"y1Qz7","Week 1",NA,"just finished watching apocalypto..great movie btw cant believe they rarely let mel gibson direct or star anymore "
"sBhUF","Week 3",NA,"because i like being put on hold for 5 minutes with @planetgranite "
"y3OIB","Week 3",NA,"@lacey_abby sorry smlm x reply! Bz gile afta lunch. During lunch pun aku wat keje sebenarnye "
"oP3fu","Week 6","ncidF","starving, and I have to go back to my house, but I feel bad leaving the puppies here  I hate leaving them all day!"
"yJbRW","Week 5",NA," There's a leak in the fish tank after all. It's a slow leak so it should hold till next week I hope."
"mhN2G","Week 6",NA,"My daughter went out to eat and ended up getting sick to her stomach.  I hope it isn't anything serious. "
"YMTdr","Week 5",NA,"blah&gt;just spilled my guts....hope it turns out well cuz otherwise i'm going to turn out to be like every other skank out there "
"Ccnpg","Week 2",NA,"is going back to the grind. lunch is almost over "
"cN1ar","Week 2",NA,"@blairblends Sure did. The glitter poop on construction paper has not sold yet. "
"RjjgC","Week 6","oP3fu","There was a scavenger hunt and i lost!.... And i scraped my knee at debut practice  and its puffy bruised."
"GN1BY","Week 6",NA,"is waiting for lunch to be cooked. it's past 1 na... "
"LJnZv","Week 3",NA,"has meetings next week but got advance $ so now i  need an assistant to help with my *** for my show and my friend cant move out 2 help "
"jC4XQ","Week 4",NA,"Ouch. We've re-priced twice for worse rates today. "
"PInol","Week 4",NA,"At this starbucks on U st doing work while waiting for Chi Cha Lounge to open at 5. I left my check card there last night "
"oP3fu","Week 6",NA,"I wanna watch hairspray... Havta do a guard of honor wit d scouts tomorrow its gunna b so sad  i feel so sorry for orlaith and ellen"
"jC4XQ","Week 1",NA,"my best friend from high school can't come to my wedding or be in my bridal party anymore "
"PInol","Week 6",NA,"oh booth i miss everyone too! ready to get back to work and into the swing of things. being sick was a lonely lonely life! "
"cN1ar","Week 2","LJnZv","sore throat. headache. *frown* "
"ZqgdN","Week 5",NA,"WD40 fails.  i need pee."
"oP3fu","Week 5",NA,"I won't go to uni tomorrow.. don't want to.. but will do a lot of work tonight and tomorrow "
"oP3fu","Week 2",NA,"Twitter was really messed up last night. "
"GN1BY","Week 5",NA,"@Wolfie1800 nobody is posting. ironically the second i hit send somebody posted "
"jC4XQ","Week 4","Ccnpg","anfernee wont let me play gh "
"sBhUF","Week 2",NA,"@whatkatiedoes I know - it makes me itch thinking about wool hats on a nice sunny day. And also I hate knitting socks "
"Ccnpg","Week 4",NA,"@Tamarzipan dunno...just my mums card...my mum didnt buy me it.... "
"Ccnpg","Week 3",NA,"http://twitpic.com/7gsmh - my dog jumped up and popped me in the lip AND I couldn't find my motorcycle key to ride my bike today "
"SYIdt","Week 4",NA,"@FreekitTweekit What? ah man  that really blows"
"jC4XQ","Week 1",NA,"@fiofo LOL. No mention of meerkats though. Sad times "
"hgIkb","Week 2","mhN2G","headache wont go away "
"cN1ar","Week 3",NA,"@GeorgiaPrincez well damn!  *puts her phone down and goes away*"
"jC4XQ","Week 1",NA,"@jordnknightfan Right side of the screen, under &quot;Trending Topics&quot; lol, doesn't tell us what Tink means tho "
"JghbQ","Week 1","zEUg8","Lol jk guys...  Health Final. DEMI LEVATO UR LUCKY U DONT HAVE SUMMER SCHOOL!"
"ZqgdN","Week 4",NA,"I'm going to post the last ever episode of the tide NOW just to get it out of the way "
"okrpy","Week 4",NA,"Nothin to do "
"Ccnpg","Week 1",NA,"has a headacheee  i read to much"
"SYIdt","Week 4",NA,"2 many assessment tasks i think im going to collapse with exhaustion lols soz for being so melodramatic..just a lil stressed "
"SYIdt","Week 5",NA,"WOMP WOMPPP my boss isnt at work yet  i wanna get outta here before the crazies come "
"LJnZv","Week 2","YMTdr","i wish i moved to usa or canada "
"HQEwD","Week 1",NA,"just got back from werk ... I hate Mondays ... "
"GN1BY","Week 4",NA,"time to start my homework "
"ncidF","Week 4","jC4XQ","Why can't I stop thinking about you since yesterday?!  I thought it was just because it was your day.. BUT.... :'("
"ncidF","Week 5",NA,"@lilsil e fon wuld never tweet "
"ncidF","Week 2","M5dmg","You were supposed to tell me &quot;Go to Assembly on April 22!&quot; "
